quantile,npv_eur
0.0,-202863.0
0.0001,-202652.012
0.0002,-202441.024
0.00030000000000000003,-202230.036
0.0004,-202019.048
0.0005,-201808.06
0.0006000000000000001,-201597.072
0.0007,-201386.084
0.0008,-201175.096
0.0009000000000000001,-200964.108
0.001,-200753.12
0.0011,-200542.132
0.0012000000000000001,-200331.144
0.0013000000000000002,-200120.156
0.0014,-199909.168
0.0015,-199698.18
0.0016,-199487.192
0.0017000000000000001,-199276.204
0.0018000000000000002,-199065.216
0.0019,-198854.228
0.002,-198643.24
0.0021000000000000003,-198432.252
0.0022,-198221.264
0.0023,-198010.276
0.0024000000000000002,-197799.288
0.0025,-197588.3
0.0026000000000000003,-197377.312
0.0027,-197166.324
0.0028,-196955.336
0.0029000000000000002,-196744.348
0.003,-196533.36
0.0031000000000000003,-196322.372
0.0032,-196111.384
0.0033,-195900.396
0.0034000000000000002,-195689.408
0.0035,-195478.42
0.0036000000000000003,-195267.432
0.0037,-195056.444
0.0038,-194845.456
0.0039000000000000003,-194634.468
0.004,-194423.48
0.0041,-194212.492
0.004200000000000001,-194001.504
0.0043,-193790.516
0.0044,-193579.528
0.0045000000000000005,-193368.54
0.0046,-193157.552
0.0047,-192946.564
0.0048000000000000004,-192735.576
0.0049,-192524.588
0.005,-192313.6
0.0051,-192102.612
0.005200000000000001,-191891.624
0.0053,-191680.636
0.0054,-191469.648
0.0055000000000000005,-191258.66
0.0056,-191047.672
0.0057,-190836.684
0.0058000000000000005,-190625.696
0.0059,-190414.708
0.006,-190203.72
0.0061,-189992.732
0.006200000000000001,-189781.744
0.0063,-189570.756
0.0064,-189359.768
0.006500000000000001,-189148.78
0.0066,-188937.792
0.0067,-188726.804
0.0068000000000000005,-188515.816
0.006900000000000001,-188304.828
0.007,-188093.84
0.0071,-187882.852
0.007200000000000001,-187671.864
0.0073,-187460.876
0.0074,-187249.888
0.007500000000000001,-187038.9
0.0076,-186827.912
0.0077,-186616.924
0.0078000000000000005,-186405.936
0.0079,-186194.948
0.008,-185983.96
0.0081,-185772.972
0.0082,-185561.984
0.0083,-185350.99599999998
0.008400000000000001,-185140.008
0.0085,-184929.02
0.0086,-184718.032
0.008700000000000001,-184507.044
0.0088,-184296.056
0.0089,-184085.068
0.009000000000000001,-183874.08
0.0091,-183663.092
0.0092,-183452.104
0.009300000000000001,-183241.116
0.0094,-183030.128
0.0095,-182819.14
0.009600000000000001,-182608.152
0.0097,-182397.164
0.0098,-182186.176
0.0099,-181975.188
0.01,-181764.2
0.010100000000000001,-181553.212
0.0102,-181342.224
0.0103,-181131.236
0.010400000000000001,-180920.248
0.0105,-180709.26
0.0106,-180498.272
0.010700000000000001,-180287.28399999999
0.0108,-180076.296
0.0109,-179865.308
0.011000000000000001,-179654.32
0.0111,-179443.332
0.0112,-179232.344
0.011300000000000001,-179021.356
0.0114,-178810.368
0.0115,-178599.38
0.011600000000000001,-178388.392
0.0117,-178177.404
0.0118,-177966.416
0.0119,-177755.428
0.012,-177544.44
0.012100000000000001,-177333.452
0.0122,-177122.464
0.0123,-176911.476
0.012400000000000001,-176700.488
0.0125,-176489.5
0.0126,-176278.512
0.012700000000000001,-176067.524
0.0128,-175856.536
0.0129,-175645.548
0.013000000000000001,-175434.56
0.0131,-175223.572
0.0132,-175012.584
0.013300000000000001,-174801.596
0.0134,-174590.608
0.0135,-174379.62
0.013600000000000001,-174168.63199999998
0.0137,-173957.644
0.013800000000000002,-173746.656
0.013900000000000001,-173535.668
0.014,-173324.68
0.014100000000000001,-173113.69199999998
0.0142,-172902.704
0.0143,-172691.71600000001
0.014400000000000001,-172480.728
0.0145,-172269.74
0.0146,-172058.752
0.014700000000000001,-171847.764
0.0148,-171636.776
0.0149,-171425.788
0.015000000000000001,-171214.8
0.0151,-171003.812
0.0152,-170792.824
0.015300000000000001,-170581.836
0.0154,-170370.848
0.0155,-170159.86
0.015600000000000001,-169948.872
0.015700000000000002,-169737.884
0.0158,-169526.896
0.0159,-169315.908
0.016,-169104.91999999998
0.0161,-168893.932
0.0162,-168682.94400000002
0.016300000000000002,-168471.956
0.0164,-168260.968
0.0165,-168049.97999999998
0.0166,-167838.992
0.0167,-167628.00400000002
0.016800000000000002,-167417.016
0.016900000000000002,-167206.028
0.017,-166995.04
0.0171,-166784.052
0.0172,-166573.064
0.0173,-166362.076
0.017400000000000002,-166151.088
0.0175,-165940.1
0.0176,-165729.112
0.0177,-165518.124
0.0178,-165307.136
0.0179,-165096.148
0.018000000000000002,-164885.16
0.0181,-164674.172
0.0182,-164463.184
0.0183,-164252.196
0.0184,-164041.20799999998
0.018500000000000003,-163830.22
0.018600000000000002,-163619.232
0.0187,-163408.244
0.0188,-163197.256
0.0189,-162986.26799999998
0.019,-162775.28
0.019100000000000002,-162564.292
0.019200000000000002,-162353.304
0.0193,-162142.316
0.0194,-161931.328
0.0195,-161720.34
0.0196,-161509.352
0.019700000000000002,-161298.364
0.0198,-161087.376
0.0199,-160876.388
0.02,-160665.4
0.0201,-160454.412
0.020200000000000003,-160243.424
0.020300000000000002,-160032.436
0.0204,-159821.448
0.0205,-159610.46
0.0206,-159399.472
0.0207,-159188.484
0.020800000000000003,-158977.49599999998
0.020900000000000002,-158766.508
0.021,-158555.52
0.0211,-158344.532
0.0212,-158133.544
0.0213,-157922.556
0.021400000000000002,-157711.568
0.021500000000000002,-157500.58
0.0216,-157289.592
0.0217,-157078.604
0.0218,-156867.616
0.0219,-156656.628
0.022000000000000002,-156445.63999999998
0.0221,-156234.652
0.0222,-156023.664
0.0223,-155812.676
0.0224,-155601.688
0.022500000000000003,-155390.7
0.022600000000000002,-155179.712
0.0227,-154968.724
0.0228,-154757.736
0.0229,-154546.748
0.023,-154335.76
0.023100000000000002,-154124.772
0.023200000000000002,-153913.78399999999
0.0233,-153702.796
0.0234,-153491.808
0.0235,-153280.82
0.0236,-153069.832
0.023700000000000002,-152858.84399999998
0.0238,-152647.856
0.0239,-152436.868
0.024,-152225.88
0.0241,-152014.892
0.024200000000000003,-151803.90399999998
0.024300000000000002,-151592.916
0.0244,-151381.928
0.0245,-151170.94
0.0246,-150959.952
0.0247,-150748.964
0.024800000000000003,-150537.976
0.024900000000000002,-150326.988
0.025,-150116.0
0.0251,-149905.012
0.0252,-149694.024
0.0253,-149483.036
0.025400000000000002,-149272.048
0.025500000000000002,-149061.06
0.0256,-148850.072
0.0257,-148639.084
0.0258,-148428.096
0.025900000000000003,-148217.108
0.026000000000000002,-148006.12
0.0261,-147795.13199999998
0.0262,-147584.144
0.0263,-147373.156
0.0264,-147162.168
0.026500000000000003,-146951.18
0.026600000000000002,-146740.19199999998
0.0267,-146529.204
0.0268,-146318.21600000001
0.0269,-146107.228
0.027,-145896.24
